loc,Pred_loc,dist_localization_error_pd
"87,13","85,10",3.61
"22,65","20,65",2.0
"45,86","44,87",1.41
"169,109","171,110",2.24
"39,48","41,46",2.83
"23,20","19,20",4.0
"147,104","146,104",1.0
"51,86","49,86",2.0
"35,18","34,15",3.16
"34,76","30,76",4.0
"54,57","52,56",2.24
"111,46","112,46",1.0
"22,23","25,17",6.71
"17,64","16,65",1.41
"133,78","132,79",1.41
"181,1","182,1",1.0
"16,81","15,82",1.41
"106,49","107,50",1.41
"187,89","185,89",2.0
"47,69","45,67",2.83
"94,3","89,1",5.39
"70,99","69,98",1.41
"141,54","140,54",1.0
"185,63","186,63",1.0
"131,76","132,75",1.41
"61,11","61,9",2.0
"69,51","69,50",1.0
"135,38","132,39",3.16
"90,128","86,126",4.47
"98,52","98,49",3.0
"161,129","160,127",2.24
"145,92","143,92",2.0
"136,97","134,97",2.0
"122,47","123,48",1.41
"38,10","38,9",1.0
"165,13","162,13",3.0
"3,106","1,108",2.83
"120,95","119,94",1.41
"4,78","3,78",1.0
"136,80","135,77",3.16
"68,129","65,129",3.0
"11,16","12,12",4.12
"14,20","12,20",2.0
"169,103","166,102",3.16
"35,23","33,24",2.24
"23,52","22,50",2.24
"139,27","138,25",2.24
"121,57","120,57",1.0
"94,48","95,48",1.0
"176,91","177,91",1.0
"26,109","24,107",2.83
"17,20","14,17",4.24
"89,102","88,103",1.41
"16,27","12,23",5.66
"172,111","170,108",3.61
"88,129","82,126",6.71
"4,84","2,85",2.24
"34,90","35,88",2.24
"130,88","129,88",1.0
"112,55","111,55",1.0
"97,110","95,110",2.0
"72,4","75,3",3.16
"73,126","75,126",2.0
"36,125","35,124",1.41
"177,84","178,83",1.41
"142,67","140,66",2.24
"139,98","138,98",1.0
"91,46","91,47",1.0
"182,15","176,10",7.81
"15,84","16,83",1.41
"93,128","90,124",5.0
"187,18","185,13",5.39
"81,70","79,70",2.0
"18,44","18,40",4.0
"70,64","69,63",1.41
"56,101","56,100",1.0
"88,75","87,74",1.41
"140,28","139,27",1.41
"50,125","50,123",2.0
"106,6","104,5",2.24
"162,110","162,111",1.0
"86,60","83,60",3.0
"76,33","75,34",1.41
"68,125","68,124",1.0
"21,33","17,34",4.12
"19,16","19,13",3.0
"20,82","19,80",2.24
"30,1","28,1",2.0
"165,116","164,116",1.0
"107,79","106,79",1.0
"33,35","33,34",1.0
"150,115","151,114",1.41
"5,130","5,129",1.0
"112,35","111,34",1.41
"59,113","58,113",1.0
"25,40","21,42",4.47
"41,92","39,92",2.0
"68,78","67,78",1.0
"134,68","134,67",1.0
"50,87","50,88",1.0
"21,6","19,3",3.61
"45,6","45,5",1.0
"42,11","41,13",2.24
"130,130","128,128",2.83
"112,8","113,5",3.16
"186,35","185,31",4.12
"48,38","47,36",2.24
"33,14","32,12",2.24
"102,120","101,121",1.41
"108,54","107,53",1.41
"153,99","152,98",1.41
"136,33","135,33",1.0
"53,93","50,93",3.0
"104,2","100,2",4.0
"185,108","183,108",2.0
"6,76","7,76",1.0
"8,102","6,100",2.83
"169,49","168,49",1.0
"60,125","58,123",2.83
"106,126","103,125",3.16
"116,57","114,57",2.0
"54,67","55,66",1.41
"116,114","114,113",2.24
"57,70","53,70",4.0
"178,22","176,20",2.83
"118,112","117,111",1.41
"46,73","44,73",2.0
"11,13","10,14",1.41
"119,36","117,35",2.24
"10,79","11,79",1.0
"156,124","154,122",2.83
"28,101","28,101",0.0
"7,55","5,54",2.24
"48,97","47,96",1.41
"143,129","142,127",2.24
"162,125","161,123",2.24
"188,104","186,103",2.24
"143,68","141,68",2.0
"28,102","25,103",3.16
"175,26","173,24",2.83
"97,24","94,25",3.16
"138,60","138,60",0.0
"17,49","19,48",2.24
"135,76","135,77",1.0
"92,35","90,34",2.24
"99,12","96,11",3.16
"82,57","83,57",1.0
"111,23","109,21",2.83
"20,32","16,27",6.4
"139,49","139,48",1.0
"181,112","183,110",2.83
"57,120","57,118",2.0
"22,63","21,63",1.0
"118,105","117,106",1.41
"40,71","41,67",4.12
"123,107","122,107",1.0
"74,42","73,41",1.41
"46,31","46,29",2.0
"129,69","128,70",1.41
"32,60","30,60",2.0
"166,58","165,57",1.41
"57,33","56,31",2.24
"64,40","63,39",1.41
"20,101","19,101",1.0
"182,72","181,72",1.0
"176,19","175,16",3.16
"26,46","28,44",2.83
"168,90","167,89",1.41
"162,54","162,53",1.0
"101,21","99,18",3.61
"44,32","45,31",1.41
"133,4","127,3",6.08
"13,113","11,112",2.24
"69,29","71,27",2.83
"114,53","115,52",1.41
"161,7","159,7",2.0
"180,2","178,2",2.0
"151,1","149,1",2.0
"1,122","2,121",1.41
"62,27","61,25",2.24
"158,67","157,65",2.24
"127,123","126,121",2.24
"35,73","34,72",1.41
"18,42","16,35",7.28
"139,89","137,89",2.0
"6,71","5,71",1.0
"158,46","156,46",2.0
"144,127","145,126",1.41
"72,35","73,34",1.41
"83,71","82,71",1.0
"130,127","129,126",1.41
"125,40","124,38",2.24
"142,60","141,60",1.0
"101,122","101,121",1.0
"103,99","104,98",1.41
"76,71","74,71",2.0
"54,82","54,81",1.0
"46,20","47,19",1.41
"113,82","112,82",1.0
"46,117","45,117",1.0
"83,58","81,58",2.0
"4,38","6,32",6.32
"154,19","152,22",3.61
"59,55","57,55",2.0
"110,61","109,61",1.0
"14,90","14,88",2.0
"95,15","94,14",1.41
"64,88","65,87",1.41
"106,122","104,124",2.83
"101,113","100,112",1.41
"88,21","85,22",3.16
"14,35","17,29",6.71
"35,110","34,110",1.0
"19,108","16,106",3.61
"10,39","8,41",2.83
"18,103","16,103",2.0
"176,34","175,34",1.0
"65,16","65,13",3.0
"36,41","36,40",1.0
"107,13","107,11",2.0
"186,84","183,84",3.0
"79,114","77,114",2.0
"27,22","25,22",2.0
"131,41","130,40",1.41
"123,71","123,70",1.0
"88,65","86,65",2.0
"140,122","139,123",1.41
"8,87","7,83",4.12
"138,110","138,109",1.0
"130,75","129,74",1.41
"95,26","96,24",2.24
"13,23","10,21",3.61
"136,15","133,14",3.16
"181,15","175,10",7.81
"111,70","109,70",2.0
"97,125","93,122",5.0
"146,30","144,30",2.0
"107,8","107,6",2.0
"179,55","178,57",2.24
"145,51","145,51",0.0
"14,111","11,110",3.16
"29,45","28,43",2.24
"126,49","125,49",1.0
"155,18","152,17",3.16
"68,103","66,103",2.0
"64,84","64,82",2.0
"79,15","76,14",3.16
"79,46","78,47",1.41
"142,93","141,93",1.0
"95,101","91,99",4.47
"157,98","155,98",2.0
"159,43","158,41",2.24
"55,84","53,85",2.24
"17,70","15,70",2.0
"128,2","125,1",3.16
"117,53","117,51",2.0
"23,87","22,85",2.24
"21,2","18,6",5.0
"125,62","124,62",1.0
"181,16","178,18",3.61
"93,35","91,35",2.0
"174,55","175,55",1.0
"3,75","2,74",1.41
"168,125","169,125",1.0
"15,102","15,100",2.0
"62,14","59,14",3.0
"32,97","31,96",1.41
"158,108","155,107",3.16
"113,67","112,67",1.0
"38,19","40,20",2.24
"35,74","34,73",1.41
"74,129","71,129",3.0
"39,21","38,18",3.16
"178,42","178,38",4.0
"78,38","79,38",1.0
"9,30","7,34",4.47
"3,43","2,42",1.41
"82,103","83,104",1.41
"176,38","172,38",4.0
"69,49","68,47",2.24
"167,97","165,97",2.0
"66,40","66,42",2.0
"105,119","105,118",1.0
"115,89","115,87",2.0
"127,93","127,91",2.0
"65,82","64,82",1.0
"10,101","11,100",1.41
"41,82","40,81",1.41
"14,38","13,29",9.06
"85,83","85,84",1.0
"106,127","103,125",3.61
"68,26","67,26",1.0
"82,24","82,22",2.0
"68,24","65,25",3.16
"111,108","110,107",1.41
"134,47","133,46",1.41
"185,109","184,108",1.41
"5,70","4,70",1.0
"63,25","64,23",2.24
"20,61","21,59",2.24
"150,19","147,17",3.61
"126,110","125,109",1.41
"120,19","120,17",2.0
"120,18","116,17",4.12
"19,10","19,11",1.0
"61,17","58,15",3.61
"22,118","22,116",2.0
"80,19","80,20",1.0
"71,54","72,55",1.41
"176,76","175,76",1.0
"150,93","147,93",3.0
"85,29","85,30",1.0
"53,44","52,42",2.24
"186,47","186,46",1.0
"159,67","159,66",1.0
"15,27","14,28",1.41
"165,37","165,36",1.0
"103,37","101,36",2.24
"62,65","60,65",2.0
"157,13","154,13",3.0
"121,127","122,128",1.41
"139,47","140,46",1.41
"10,48","10,47",1.0
"175,101","174,101",1.0
"49,60","49,59",1.0
"15,13","13,16",3.61
"66,90","65,91",1.41
"133,125","133,123",2.0
"109,50","108,50",1.0
"132,82","132,83",1.0
"142,49","142,49",0.0
"42,111","41,109",2.24
"183,39","179,43",5.66
"40,106","39,105",1.41
"144,129","143,127",2.24
"125,64","125,63",1.0
"46,120","43,119",3.16
"42,65","42,66",1.0
"33,41","31,41",2.0
"14,31","11,26",5.83
"15,62","15,61",1.0
"118,16","115,13",4.24
"77,102","74,101",3.16
"51,16","52,12",4.12
"36,71","35,72",1.41
"39,61","39,60",1.0
"32,38","30,38",2.0
"100,105","102,105",2.0
"97,92","95,91",2.24
"66,17","63,14",4.24
"95,13","93,11",2.83
"129,46","128,44",2.24
"64,120","62,118",2.83
"81,130","76,130",5.0
"26,35","21,40",7.07
"177,66","176,68",2.24
"152,26","150,26",2.0
"16,75","16,74",1.0
"106,12","105,10",2.24
"53,68","52,68",1.0
"131,77","132,76",1.41
"159,129","156,127",3.61
"107,12","108,11",1.41
"111,84","110,82",2.24
"143,46","140,46",3.0
"87,71","85,71",2.0
"129,9","127,7",2.83
"135,122","134,121",1.41
"143,40","142,40",1.0
"159,60","158,60",1.0
"174,17","177,17",3.0
"85,36","82,36",3.0
"147,30","144,30",3.0
"139,51","137,51",2.0
"35,13","36,12",1.41
"41,114","42,112",2.24
"111,87","110,88",1.41
"119,25","117,26",2.24
"24,55","23,56",1.41
"68,8","63,6",5.39
"160,5","157,3",3.61
"103,66","104,65",1.41
"144,52","143,52",1.0
"84,3","75,1",9.22
"104,45","105,44",1.41
"120,98","121,97",1.41
"187,41","185,41",2.0
"52,10","53,8",2.24
"59,82","60,81",1.41
"74,66","72,66",2.0
"124,46","125,46",1.0
"19,51","19,47",4.0
"139,118","137,118",2.0
"81,108","83,107",2.24
"153,113","150,112",3.16
"67,23","66,22",1.41
"178,8","177,6",2.24
"135,45","134,45",1.0
"101,37","100,36",1.41
"68,86","66,86",2.0
"157,63","157,60",3.0
"130,44","130,43",1.0
"77,39","76,39",1.0
"187,12","183,9",5.0
"155,113","156,113",1.0
"115,63","114,62",1.41
"141,96","139,96",2.0
"127,40","126,38",2.24
"32,6","33,2",4.12
"180,55","179,57",2.24
"38,64","37,64",1.0
"145,26","140,25",5.1
"90,126","83,123",7.62
"46,58","45,57",1.41
"103,74","101,73",2.24
"6,128","5,126",2.24
"113,66","112,66",1.0
"178,51","178,50",1.0
"109,116","108,114",2.24
"91,44","92,42",2.24
"128,33","127,35",2.24
"133,15","130,15",3.0
"136,2","132,5",5.0
"24,31","25,29",2.24
"22,69","23,68",1.41
"164,128","163,127",1.41
"69,43","67,44",2.24
"126,28","125,26",2.24
"25,28","25,27",1.0
"104,125","96,119",10.0
"142,30","145,29",3.16
"151,98","148,99",3.16
"137,112","136,112",1.0
"176,97","177,99",2.24
"90,48","90,49",1.0
"173,81","172,80",1.41
"134,95","132,95",2.0
"20,41","21,39",2.24
"54,23","53,24",1.41
"21,45","20,42",3.16
"77,80","76,80",1.0
"12,79","13,78",1.41
"5,86","6,86",1.0
"116,40","115,39",1.41
"173,44","171,44",2.0
"164,107","162,107",2.0
"146,52","145,52",1.0
"32,86","29,87",3.16
"129,92","128,92",1.0
"174,92","175,91",1.41
"20,88","17,91",4.24
"112,64","111,64",1.0
"166,60","166,61",1.0
"45,13","43,13",2.0
"84,30","86,27",3.61
"139,80","138,80",1.0
"46,36","46,34",2.0
"89,66","85,67",4.12
"155,116","156,117",1.41
"171,67","171,66",1.0
"59,37","60,35",2.24
"139,71","138,70",1.41
"36,113","34,112",2.24
"181,68","180,67",1.41
"32,16","33,15",1.41
"91,93","92,94",1.41
"42,90","40,91",2.24
"102,118","99,115",4.24
"89,17","86,15",3.61
"58,109","59,108",1.41
"71,113","67,111",4.47
"180,113","178,112",2.24
"181,27","179,24",3.61
"166,126","166,124",2.0
"8,130","8,123",7.0
"58,60","58,59",1.0
"8,86","11,81",5.83
"45,122","44,121",1.41
"116,90","116,89",1.0
"106,97","106,96",1.0
"168,129","169,130",1.41
"153,83","151,83",2.0
"183,95","182,96",1.41
"75,108","73,107",2.24
"86,92","83,92",3.0
"121,117","120,117",1.0
"35,21","34,19",2.24
"72,125","70,127",2.83
"77,5","80,2",4.24
"151,64","150,65",1.41
"52,36","51,36",1.0
"41,121","38,122",3.16
"160,21","162,24",3.61
"98,63","99,63",1.0
"150,40","149,39",1.41
"24,123","24,121",2.0
"91,3","90,2",1.41
"113,36","112,36",1.0
"37,88","38,86",2.24
"18,31","16,27",4.47
"171,54","172,53",1.41
"113,119","111,117",2.83
"184,98","184,98",0.0
"140,49","140,48",1.0
"159,102","158,102",1.0
"152,115","151,115",1.0
"127,51","127,53",2.0
"134,12","135,10",2.24
"66,45","67,43",2.24
"117,127","116,127",1.0
"67,47","66,45",2.24
"31,110","30,109",1.41
"29,116","26,115",3.16
"27,43","27,42",1.0
"83,115","82,113",2.24
"58,130","54,130",4.0
"53,13","54,11",2.24
"95,84","93,83",2.24
"77,9","75,4",5.39
"164,33","161,37",5.0
"20,7","18,8",2.24
"157,46","155,46",2.0
"97,30","94,29",3.16
"180,64","178,64",2.0
"78,91","77,91",1.0
"41,118","38,119",3.16
"58,86","59,85",1.41
"99,107","96,106",3.16
"141,67","138,65",3.61
"88,59","90,58",2.24
"164,89","162,88",2.24
"146,107","147,106",1.41
"36,52","35,52",1.0
"51,72","52,72",1.0
"64,44","61,41",4.24
"117,70","116,70",1.0
"12,55","13,53",2.24
"64,109","65,109",1.0
"166,122","165,121",1.41
"73,12","71,10",2.83
"74,39","72,37",2.83
"66,44","67,44",1.0
"138,22","139,22",1.0
"83,8","82,9",1.41
"100,68","99,68",1.0
"82,46","83,46",1.0
"89,22","88,21",1.41
"17,118","15,117",2.24
"160,51","160,51",0.0
"177,125","175,122",3.61
"143,117","142,117",1.0
"115,94","114,95",1.41
"106,13","103,13",3.0
"16,32","15,26",6.08
"173,100","173,99",1.0
"115,108","113,108",2.0
"65,7","65,1",6.0
"89,89","89,87",2.0
"30,78","28,78",2.0
"36,1","32,3",4.47
"16,66","17,66",1.0
"98,39","97,37",2.24
"44,40","45,39",1.41
"140,76","140,75",1.0
"108,59","107,59",1.0
"12,109","10,109",2.0
"105,80","104,80",1.0
"97,58","97,56",2.0
"112,53","111,52",1.41
"95,95","94,96",1.41
"7,97","9,94",3.61
"159,14","160,15",1.41
"77,117","78,116",1.41
"26,102","24,101",2.24
"178,94","177,94",1.0
"165,31","162,31",3.0
"167,111","169,111",2.0
"49,85","48,84",1.41
"185,105","182,102",4.24
"46,93","42,93",4.0
"88,47","85,48",3.16
"112,104","112,102",2.0
"134,82","134,81",1.0
"57,6","57,5",1.0
"117,15","113,14",4.12
"97,40","97,38",2.0
"44,69","41,69",3.0
"43,2","43,1",1.0
"4,68","3,67",1.41
"116,14","113,11",4.24
"38,69","34,66",5.0
"170,93","169,93",1.0
"70,31","71,30",1.41
"137,125","137,124",1.0
"173,129","173,130",1.0
"21,52","20,52",1.0
"1,35","3,29",6.32
"75,31","74,31",1.0
"28,47","29,46",1.41
"182,11","178,7",5.66
"76,91","75,91",1.0
"18,124","19,123",1.41
"65,114","64,112",2.24
"146,79","146,80",1.0
"137,3","137,2",1.0
"15,130","14,129",1.41
"51,48","51,47",1.0
"135,17","132,17",3.0
"123,53","121,52",2.24
"126,108","125,109",1.41
"151,27","149,27",2.0
"126,100","125,100",1.0
"115,5","118,3",3.61
"123,92","123,91",1.0
"172,130","170,130",2.0
"70,55","69,56",1.41
"155,44","153,44",2.0
"134,41","133,41",1.0
"154,121","150,119",4.47
"116,46","115,46",1.0
"9,46","8,43",3.16
"155,4","153,4",2.0
"183,82","183,79",3.0
"32,111","30,110",2.24
"79,43","77,44",2.24
"46,33","44,32",2.24
"91,126","88,123",4.24
"21,8","19,6",2.83
"16,119","13,122",4.24
"31,66","29,66",2.0
"104,82","104,83",1.0
"48,99","47,98",1.41
"86,53","83,51",3.61
"32,130","30,126",4.47
"70,57","68,55",2.83
"12,43","13,43",1.0
"104,91","103,91",1.0
"136,49","135,49",1.0
"88,86","86,85",2.24
"139,72","138,72",1.0
"66,16","63,16",3.0
"20,87","19,86",1.41
"37,32","38,30",2.24
"143,78","144,77",1.41
"71,117","72,118",1.41
"94,128","91,125",4.24
"154,2","154,3",1.0
"140,20","144,18",4.47
"74,24","80,20",7.21
"63,85","63,83",2.0
"15,19","16,19",1.0
"35,8","35,7",1.0
"151,46","149,43",3.61
"111,111","108,109",3.61
"12,34","13,32",2.24
"131,120","130,119",1.41
"45,16","45,13",3.0
"163,27","160,26",3.16
"128,97","128,96",1.0
"74,12","72,10",2.83
"118,37","117,37",1.0
"23,85","21,85",2.0
"68,80","67,80",1.0
"41,53","40,51",2.24
"147,99","147,99",0.0
"83,70","80,70",3.0
"103,120","100,117",4.24
"180,101","181,100",1.41
"44,67","43,65",2.24
"10,21","8,20",2.24
"129,75","128,76",1.41
"70,62","71,63",1.41
"113,127","112,126",1.41
"142,75","143,74",1.41
"93,48","91,50",2.83
"41,101","41,100",1.0
"123,97","124,98",1.41
"60,79","59,79",1.0
"165,95","163,95",2.0
"25,101","22,99",3.61
"89,34","87,34",2.0
"77,49","77,47",2.0
"170,69","170,67",2.0
"24,24","19,21",5.83
"126,119","126,118",1.0
"170,91","169,91",1.0
"6,88","7,85",3.16
"47,53","46,53",1.0
"182,108","181,108",1.0
"24,75","23,75",1.0
"130,98","129,98",1.0
"140,94","138,93",2.24
"55,78","54,78",1.0
"133,30","131,30",2.0
"121,14","120,11",3.16
"15,104","16,102",2.24
"102,20","99,17",4.24
"73,99","70,98",3.16
"15,55","15,54",1.0
"179,130","179,128",2.0
"157,61","157,61",0.0
"38,59","38,58",1.0
"51,111","52,111",1.0
"2,51","1,53",2.24
"80,25","77,28",4.24
"88,6","88,5",1.0
"181,105","180,105",1.0
"36,25","36,22",3.0
"145,113","143,112",2.24
"46,69","44,68",2.24
"80,104","77,104",3.0
"11,19","8,16",4.24
"43,92","38,90",5.39
"122,26","122,27",1.0
"65,97","60,97",5.0
"92,4","89,1",4.24
"34,44","34,42",2.0
"116,85","115,85",1.0
"71,65","72,66",1.41
"74,91","75,91",1.0
"125,2","120,3",5.1
"81,105","79,104",2.24
"16,100","16,97",3.0
"23,80","24,80",1.0
"128,29","127,31",2.24
"176,120","175,120",1.0
"46,103","46,104",1.0
"174,25","171,23",3.61
"85,22","82,23",3.16
"13,56","11,57",2.24
"108,93","106,92",2.24
"49,59","48,59",1.0
"91,2","88,1",3.16
"35,109","33,111",2.83
"159,101","158,101",1.0
"53,125","51,124",2.24
"132,9","130,8",2.24
"135,28","133,26",2.83
"132,109","131,108",1.41
"126,19","126,18",1.0
"136,36","134,37",2.24
"134,59","134,57",2.0
"104,13","105,11",2.24
"43,85","42,85",1.0
"129,86","128,85",1.41
"145,100","143,100",2.0
"16,15","16,13",2.0
"4,7","5,4",3.16
"30,2","28,4",2.83
"13,120","14,117",3.16
"173,52","173,51",1.0
"19,28","16,25",4.24
"141,15","139,15",2.0
"186,2","184,6",4.47
"185,25","184,25",1.0
"65,99","63,98",2.24
"20,64","20,63",1.0
"179,86","178,86",1.0
"96,41","95,39",2.24
"71,36","69,35",2.24
"101,63","100,64",1.41
"23,31","19,29",4.47
"13,24","11,24",2.0
"124,72","124,71",1.0
"130,41","129,40",1.41
"68,23","66,20",3.61
"103,83","101,83",2.0
"185,126","186,127",1.41
"132,114","133,114",1.0
"143,80","144,79",1.41
"3,61","2,62",1.41
"68,72","67,73",1.41
"16,49","14,50",2.24
"103,8","105,6",2.83
"73,18","74,17",1.41
"15,18","14,17",1.41
"35,125","34,123",2.24
"23,82","21,82",2.0
"136,20","137,19",1.41
"152,63","149,63",3.0
"92,104","90,103",2.24
"19,32","19,28",4.0
"116,51","115,52",1.41
"92,9","91,8",1.41
"163,70","162,69",1.41
"183,101","182,104",3.16
"48,42","47,41",1.41
"116,84","115,84",1.0
"145,54","143,54",2.0
"73,42","75,43",2.24
"137,101","137,101",0.0
"90,41","88,41",2.0
"34,97","34,95",2.0
"158,112","155,112",3.0
"5,72","3,70",2.83
"153,6","150,4",3.61
"106,99","104,99",2.0
"58,25","57,24",1.41
"15,31","17,26",5.39
"144,98","143,98",1.0
"124,43","123,43",1.0
"64,121","62,120",2.24
"74,45","74,46",1.0
"188,8","183,3",7.07
"51,9","49,11",2.83
"140,57","139,56",1.41
"120,87","121,87",1.0
"169,40","167,37",3.61
"171,118","169,117",2.24
"84,41","84,39",2.0
"114,68","113,69",1.41
"11,115","9,117",2.83
"120,1","114,4",6.71
"125,52","124,52",1.0
"4,104","3,101",3.16
"156,95","154,95",2.0
"39,102","38,99",3.16
"175,39","173,37",2.83
"64,52","63,50",2.24
"78,53","77,51",2.24
"54,114","52,113",2.24
"33,116","33,113",3.0
"36,62","34,63",2.24
"25,97","24,95",2.24
"37,105","36,104",1.41
"41,60","41,58",2.0
"114,8","111,8",3.0
"48,37","48,35",2.0
"39,120","37,117",3.61
"181,81","180,79",2.24
"109,110","108,109",1.41
"46,130","47,130",1.0
"47,86","46,86",1.0
"164,19","161,17",3.61
"113,44","114,45",1.41
"67,66","65,65",2.24
"138,30","137,31",1.41
"38,42","39,41",1.41
"77,92","77,90",2.0
"172,32","173,34",2.24
"124,81","124,80",1.0
"147,27","146,28",1.41
"150,54","149,54",1.0
"23,43","22,41",2.24
"144,78","142,77",2.24
"103,104","100,102",3.61
"182,95","180,96",2.24
"112,54","111,52",2.24
"21,21","19,18",3.61
"177,93","178,92",1.41
"31,1","26,3",5.39
"49,128","47,128",2.0
"145,95","143,95",2.0
"149,96","150,95",1.41
"48,41","46,40",2.24
"121,102","122,103",1.41
"136,123","137,122",1.41
"12,100","11,98",2.24
"4,121","4,118",3.0
"54,78","52,78",2.0
"185,5","184,4",1.41
"9,35","7,36",2.24
"172,3","170,2",2.24
"56,64","55,64",1.0
"68,52","67,52",1.0
"155,12","152,10",3.61
"106,56","107,55",1.41
"31,123","31,121",2.0
"11,51","12,48",3.16
"11,63","9,63",2.0
"47,82","46,82",1.0
"107,123","104,124",3.16
"66,130","64,129",2.24
"30,84","27,84",3.0
"119,70","118,70",1.0
"32,22","31,19",3.16
"6,60","5,59",1.41
"112,22","108,20",4.47
"88,16","84,13",5.0
"103,78","101,79",2.24
"177,9","181,8",4.12
"186,105","183,105",3.0
"84,124","86,126",2.83
"39,84","39,81",3.0
"89,116","88,117",1.41
"153,97","150,97",3.0
"156,56","157,55",1.41
"125,21","125,18",3.0
"94,68","92,67",2.24
"38,121","36,122",2.24
"104,1","100,2",4.12
"18,61","17,61",1.0
"94,81","93,81",1.0
"78,36","79,34",2.24
"106,62","105,62",1.0
"28,18","28,16",2.0
"137,124","136,124",1.0
"8,12","6,12",2.0
"86,51","85,50",1.41
"117,61","118,60",1.41
"40,26","40,25",1.0
"163,20","158,19",5.1
"181,9","178,7",3.61
"121,60","121,58",2.0
"87,18","86,16",2.24
"2,18","1,15",3.16
"59,90","57,90",2.0
"1,86","2,83",3.16
"23,110","22,107",3.16
"42,55","42,51",4.0
"70,121","67,122",3.16
"166,49","166,49",0.0
"91,14","89,13",2.24
"179,83","178,82",1.41
"61,68","59,68",2.0
"142,12","142,9",3.0
"183,74","183,72",2.0
"98,94","96,93",2.24
"53,77","52,77",1.0
"154,72","153,72",1.0
"11,88","9,88",2.0
"83,11","81,10",2.24
"52,12","52,9",3.0
"128,63","128,64",1.0
"188,71","188,70",1.0
"36,32","38,31",2.24
"16,43","15,45",2.24
"137,85","136,85",1.0
"52,82","52,84",2.0
"62,116","60,115",2.24
"184,32","185,32",1.0
"87,35","85,33",2.83
"33,122","34,121",1.41
"120,4","117,5",3.16
"101,4","97,4",4.0
"69,64","68,63",1.41
"83,80","82,80",1.0
"53,25","53,23",2.0
"28,35","29,33",2.24
"12,58","13,57",1.41
"32,31","29,29",3.61
"62,77","61,77",1.0
"3,19","1,18",2.24
"163,65","164,66",1.41
"123,84","123,83",1.0
"18,101","17,99",2.24
"52,64","51,63",1.41
"102,32","100,33",2.24
"156,65","156,65",0.0
"154,75","152,74",2.24
"66,88","62,88",4.0
"48,22","49,21",1.41
"132,123","131,123",1.0
"181,64","183,58",6.32
"187,71","185,70",2.24
"53,116","55,116",2.0
"125,11","123,10",2.24
"70,18","67,16",3.61
"188,3","182,1",6.32
"154,38","152,36",2.83
"64,34","63,33",1.41
"75,116","74,117",1.41
"177,25","175,25",2.0
"180,128","178,128",2.0
"139,58","137,58",2.0
"168,111","169,112",1.41
"144,106","142,106",2.0
"70,51","71,50",1.41
"152,66","153,67",1.41
"182,10","179,6",5.0
"83,15","81,12",3.61
"104,34","102,33",2.24
"5,55","4,54",1.41
"73,15","75,12",3.61
"122,92","121,92",1.0
"73,44","75,43",2.24
"179,49","178,47",2.24
"150,55","149,54",1.41
"38,46","36,48",2.83
"14,49","13,42",7.07
"139,2","138,1",1.41
"41,61","40,60",1.41
"16,110","18,107",3.61
"15,99","13,100",2.24
"166,66","165,66",1.0
"52,50","52,48",2.0
"28,94","25,95",3.16
"68,81","66,81",2.0
"5,65","4,66",1.41
"125,4","122,3",3.16
"119,115","119,114",1.0
"131,27","130,24",3.16
"38,52","38,51",1.0
"142,121","141,121",1.0
"42,124","42,123",1.0
"153,86","152,86",1.0
"2,106","1,108",2.24
"53,97","53,98",1.0
"163,39","161,36",3.61
"90,106","87,106",3.0
"96,51","95,51",1.0
"167,56","167,52",4.0
"88,64","86,63",2.24
"164,90","164,89",1.0
"24,9","23,7",2.24
"6,97","5,96",1.41
"155,110","154,110",1.0
"10,13","8,12",2.24
"1,121","1,115",6.0
"165,56","165,53",3.0
"35,94","34,94",1.0
"154,22","152,22",2.0
"141,127","140,126",1.41
"27,105","25,106",2.24
"112,28","111,27",1.41
"110,22","108,20",2.83
"7,26","9,22",4.47
"177,42","175,38",4.47
"154,34","149,32",5.39
"58,117","58,117",0.0
"139,55","140,55",1.0
"25,123","23,124",2.24
"118,8","115,7",3.16
"138,58","137,57",1.41
"17,46","16,47",1.41
"87,116","84,115",3.16
"74,76","73,76",1.0
"163,83","164,82",1.41
"88,94","86,94",2.0
"181,34","179,34",2.0
"145,125","145,126",1.0
"117,102","116,103",1.41
"172,51","172,48",3.0
"3,101","1,100",2.24
"61,110","59,109",2.24
"179,4","177,1",3.61
"172,45","170,41",4.47
"168,56","169,58",2.24
"61,103","61,104",1.0
"96,79","97,79",1.0
"152,52","151,52",1.0
"131,109","129,109",2.0
"78,8","75,4",5.0
"19,84","18,84",1.0
"128,20","127,19",1.41
"8,26","1,25",7.07
"24,35","23,35",1.0
"135,125","134,127",2.24
"153,31","152,29",2.24
"75,115","74,114",1.41
"131,97","130,96",1.41
"104,69","103,69",1.0
"56,83","55,83",1.0
"71,35","73,34",2.24
"96,59","95,57",2.24
"184,95","182,96",2.24
"152,72","151,71",1.41
"97,68","95,68",2.0
"150,44","148,44",2.0
"40,129","40,127",2.0
"139,20","138,19",1.41
"72,102","70,102",2.0
"49,127","46,126",3.16
"126,87","127,88",1.41
"62,111","60,112",2.24
"65,66","63,65",2.24
"111,14","112,12",2.24
"7,112","4,110",3.61
"40,47","40,46",1.0
"24,22","22,19",3.61
"1,69","3,69",2.0
"115,56","116,55",1.41
"140,56","139,56",1.0
"104,37","105,35",2.24
"88,7","87,4",3.16
